match_id	deck	version	played_at	opponent	result	turn_order	start_quality	opening_hand_quality	sequencing_quality	issue_tags	positive_tags	cards_shined	cards_failed	game_context	session_or_event	focus_matchup	notes
d42015c6-491d-41e4-ab12-639005aeb55d	Playtest 250 - Raging Bolt Lab	v1 Turbo	2026-04-18T09:00:00.000Z	Mega Greninja	win	unknown	good	good	good		strong setup|strong recovery	Raging Bolt ex		competitive	Midweek cup	Mega Greninja	Beat Mega Greninja. strong setup carried the middle turns.
62d5edb1-6b31-4b9e-9f52-b7556f333755	Playtest 250 - Raging Bolt Lab	v1 Turbo	2026-04-19T10:13:00.000Z	Mega Greninja	win	second	okay	good	bad		strong setup|key tech mattered	Raging Bolt ex		testing	RB baseline week 1	Mega Greninja	v1 Turbo held together into Mega Greninja. strong setup and key tech mattered were real.
301df2ff-9d6c-463a-a1f9-699eda9ef924	Playtest 250 - Raging Bolt Lab	v1 Turbo	2026-04-20T11:26:00.000Z	Mega Greninja	loss	first	good	okay	bad	bench pressure|missed setup|poor prize trade			Battle VIP Pass	testing	RB baseline week 1	Mega Greninja	Another Mega Greninja loss. Need to review bench pressure before the next sample.
6326ef98-e281-49ac-a20e-d17472387749	Playtest 250 - Raging Bolt Lab	v1 Turbo	2026-04-21T12:39:00.000Z	Mega Greninja	loss	second	good	good	good	bench pressure|missed setup|poor prize trade			Battle VIP Pass	testing	RB baseline week 1	Mega Greninja	Lost to Mega Greninja. bench pressure snowballed before Playtest 250 - Raging Bolt Lab stabilized.
6c12e92a-3bc7-4661-a7fd-5b43dba27747	Playtest 250 - Raging Bolt Lab	v1 Turbo	2026-04-22T13:52:00.000Z	Mega Greninja	loss	unknown	great	great	okay	bench pressure|missed setup|poor prize trade			Battle VIP Pass	testing	RB baseline week 1	Mega Greninja	v1 Turbo dropped a game to Mega Greninja. bench pressure and missed setup showed up again.
31a3a622-9af7-4b7e-bacb-c7ecfb702247	Playtest 250 - Raging Bolt Lab	v1 Turbo	2026-04-23T14:05:00.000Z	Mega Greninja	loss	second	okay	great	good	bench pressure|missed setup|poor prize trade			Battle VIP Pass	competitive	Midweek cup	Mega Greninja	Another Mega Greninja loss. Need to review bench pressure before the next sample.
d81546eb-c18c-4e92-9efb-9c7f75cb74f3	Playtest 250 - Raging Bolt Lab	v1 Turbo	2026-04-24T15:18:00.000Z	Mega Greninja	loss	first	okay	okay	bad	bench pressure|missed setup|poor prize trade			Battle VIP Pass	testing	RB baseline week 1	Mega Greninja	Lost to Mega Greninja. bench pressure snowballed before Playtest 250 - Raging Bolt Lab stabilized.
4057bd9e-3997-449a-a955-7353b9dc3795	Playtest 250 - Raging Bolt Lab	v1 Turbo	2026-04-25T16:31:00.000Z	Mega Greninja	loss	second	okay	okay	good	bench pressure|missed setup|poor prize trade			Battle VIP Pass	testing	RB baseline week 1	Mega Greninja	v1 Turbo dropped a game to Mega Greninja. bench pressure and missed setup showed up again.
34e770cb-21d0-4a77-b021-b4883f12424b	Playtest 250 - Raging Bolt Lab	v1 Turbo	2026-04-26T17:44:00.000Z	Mega Greninja	loss	unknown	okay	okay	great	bench pressure|missed setup|poor prize trade			Battle VIP Pass	testing	RB baseline week 1	Mega Greninja	Another Mega Greninja loss. Need to review bench pressure before the next sample.
f968e2f6-10d6-4094-82f4-b8cd90b9c2f3	Playtest 250 - Raging Bolt Lab	v1 Turbo	2026-04-27T18:57:00.000Z	Mega Greninja	loss	second	great	okay	good	bench pressure|missed setup|poor prize trade			Battle VIP Pass	testing	RB baseline week 1	Mega Greninja	Lost to Mega Greninja. bench pressure snowballed before Playtest 250 - Raging Bolt Lab stabilized.
d60ff548-6caa-49f4-bbd3-2974ae684433	Playtest 250 - Raging Bolt Lab	v1 Turbo	2026-04-28T19:10:00.000Z	Mega Greninja	loss	first	great	good	okay	bench pressure|missed setup|poor prize trade			Battle VIP Pass	competitive	Midweek cup	Mega Greninja	v1 Turbo dropped a game to Mega Greninja. bench pressure and missed setup showed up again.
faa44174-ed88-46dc-a181-fb74b05f8e7f	Playtest 250 - Raging Bolt Lab	v1 Turbo	2026-04-29T09:23:00.000Z	Mega Greninja	loss	second	good	okay	bad	bench pressure|missed setup|poor prize trade			Battle VIP Pass	testing	RB baseline week 1	Mega Greninja	Another Mega Greninja loss. Need to review bench pressure before the next sample.
d64c810a-6a1e-4175-b657-108ed6fb9add	Playtest 250 - Raging Bolt Lab	v1 Turbo	2026-04-30T10:36:00.000Z	Mega Greninja	tie	unknown	bad	okay	okay	supporter drought				testing	RB baseline week 1	Mega Greninja	Timed tie vs Mega Greninja. Game stayed close but the prize race never broke open.
7942de89-fc14-40ce-9512-5640e5ee1eb2	Playtest 250 - Raging Bolt Lab	v1 Turbo	2026-05-01T11:49:00.000Z	Mega Greninja	tie	second	okay	okay	okay					testing	RB baseline week 1	Mega Greninja	Mega Greninja tie. Need one cleaner turn to convert this sample into a read.
e26f8783-0c5e-436a-9353-7620780f8412	Playtest 250 - Raging Bolt Lab	v2 Vessel Package	2026-05-02T12:02:00.000Z	Mega Greninja	win	second	good	good	great		strong recovery	Earthen Vessel		testing	RB vessel check	Mega Greninja	Beat Mega Greninja. strong recovery carried the middle turns.
251b2e2f-bd6e-405e-9f7b-c8298564a6a3	Playtest 250 - Raging Bolt Lab	v2 Vessel Package	2026-05-03T13:15:00.000Z	Mega Greninja	win	second	good	okay	good		strong recovery	Earthen Vessel		testing	RB vessel check	Mega Greninja	v2 Vessel Package held together into Mega Greninja. strong recovery were real.
79c8058d-64ae-4cf8-95f4-24ce96908367	Playtest 250 - Raging Bolt Lab	v2 Vessel Package	2026-05-04T14:28:00.000Z	Mega Greninja	win	first	good	good	good		strong recovery|favorable matchup	Earthen Vessel		testing	RB vessel check	Mega Greninja	Win vs Mega Greninja. strong recovery mattered more than expected.
