section	label	detail	value
overview	total_decks		12
overview	total_versions		33
overview	total_matches		1000
overview	total_tags		1772
overview	logs_pages	page_size=20	50
results	wins		452
results	losses		380
results	ties		168
turn_order	first		296
turn_order	second		473
turn_order	unknown		231
matches_per_deck	Playtest 1000 - Raging Bolt Lab		160
matches_per_deck	Playtest 1000 - Dragapult Dusknoir		130
matches_per_deck	Playtest 1000 - Charizard Pressure		110
matches_per_deck	Playtest 1000 - Mega Greninja Tempo		95
matches_per_deck	Playtest 1000 - Slowking Grid		95
matches_per_deck	Playtest 1000 - Gardevoir Refinement		90
matches_per_deck	Playtest 1000 - Zoroark Curve		80
matches_per_deck	Playtest 1000 - Ogerpon Hydrapple Lab		75
matches_per_deck	Playtest 1000 - Crustle Wall		60
matches_per_deck	Playtest 1000 - Control Counterlab		55
matches_per_deck	Playtest 1000 - Experimental Turbo		25
matches_per_deck	Playtest 1000 - Rogue Box		25
matches_per_version	Playtest 1000 - Charizard Pressure | v2 Item Lock Prep		83
matches_per_version	Playtest 1000 - Gardevoir Refinement | v2 Recovery		68
matches_per_version	Playtest 1000 - Mega Greninja Tempo | v2 Cleaner Counts		60
matches_per_version	Playtest 1000 - Dragapult Dusknoir | v2 Consistency		55
matches_per_version	Playtest 1000 - Raging Bolt Lab | v5 Late-Cycle		50
matches_per_version	Playtest 1000 - Slowking Grid | v3 Disruption		45
matches_per_version	Playtest 1000 - Control Counterlab | v2 Ladder Tech		36
matches_per_version	Playtest 1000 - Dragapult Dusknoir | v4 Late-Cycle		35
matches_per_version	Playtest 1000 - Mega Greninja Tempo | v1 Raw Tempo		35
matches_per_version	Playtest 1000 - Raging Bolt Lab | v2 Vessel Package		34
matches_per_version	Playtest 1000 - Raging Bolt Lab | v3 Anti-Bench		32
matches_per_version	Playtest 1000 - Ogerpon Hydrapple Lab | v2 Cleaner Setup		30
matches_per_version	Playtest 1000 - Raging Bolt Lab | v4 Greninja Plan		30
matches_per_version	Playtest 1000 - Zoroark Curve | v2 Draw Smoothing		30
matches_per_version	Playtest 1000 - Charizard Pressure | v1 Straight		27
matches_per_version	Playtest 1000 - Crustle Wall | v2 Setup Stability		25
matches_per_version	Playtest 1000 - Dragapult Dusknoir | v3 Prize Mapping		25
matches_per_version	Playtest 1000 - Ogerpon Hydrapple Lab | v1 Full Shell		25
matches_per_version	Playtest 1000 - Slowking Grid | v1 Baseline		25
matches_per_version	Playtest 1000 - Slowking Grid | v2 Candy Balance		25
matches_per_version	Playtest 1000 - Zoroark Curve | v1 Baseline		25
matches_per_version	Playtest 1000 - Zoroark Curve | v3 Low Curve		25
matches_per_version	Playtest 1000 - Gardevoir Refinement | v1 Baseline		22
matches_per_version	Playtest 1000 - Crustle Wall | v1 Baseline		20
matches_per_version	Playtest 1000 - Ogerpon Hydrapple Lab | v3 Greninja Plan		20
matches_per_version	Playtest 1000 - Control Counterlab | v1 Counter Package		19
matches_per_version	Playtest 1000 - Experimental Turbo | v2 Trimmed		17
matches_per_version	Playtest 1000 - Crustle Wall | v3 Control Respect		15
matches_per_version	Playtest 1000 - Dragapult Dusknoir | v1 Bare Bones		15
matches_per_version	Playtest 1000 - Rogue Box | v2 Trimmed Soup		15
matches_per_version	Playtest 1000 - Raging Bolt Lab | v1 Turbo		14
